# ra,dec,mag,mag_error
130.436351,18.346896,21.1396,0.025009
130.521623,18.362039,20.2144,0.004569
130.535961,18.351353,19.2481,0.002397
130.543251,18.411896,20.0710,0.004291
130.483777,18.406821,21.0404,0.014142
130.331918,18.363188,20.5100,0.006686
130.426124,18.458259,18.0634,0.001124
130.407809,18.468475,18.4066,0.001357
129.769605,18.132196,17.4555,0.000997
130.054795,18.196171,20.9277,0.018628
130.070914,18.205528,20.8358,0.015032
129.930461,18.212071,19.1243,0.005819
129.813424,18.184792,18.2868,0.002040
129.921666,18.285906,19.9231,0.005130
129.863325,18.266281,14.7364,0.000253
129.624084,18.162133,19.2852,0.003323
129.627507,18.166833,20.3608,0.007217
129.646096,18.210195,20.9377,0.017424
129.619069,18.225921,21.2906,0.019315
129.604359,18.251421,17.7107,0.001209
129.605554,18.248567,21.4897,0.024799
129.512889,18.231252,14.3496,0.000275
129.486814,18.236627,20.1085,0.006402
129.545838,18.215377,18.1922,0.001477
129.586527,18.266799,16.3925,0.000591
129.620776,18.275088,17.8400,0.001265
129.511593,18.292930,17.2511,0.002266
129.551135,18.316586,21.5485,0.032865
129.796067,18.304329,19.3620,0.003392
129.759962,18.298961,20.0973,0.005618
129.817588,18.328443,16.3334,0.000537
129.804663,18.369525,16.6048,0.001047
129.740488,18.354998,20.5528,0.009166
